Audio File	Object Path
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\Absorb.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>Absorb\<Sound SFX>Absorb
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\Absorb1.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>Absorb\<Sound SFX>Absorb1
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\Absorb2.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>Absorb\<Sound SFX>Absorb2
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\Acid.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Sound SFX>Acid
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\AcidArmor.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Sound SFX>AcidArmor
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\Agility.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Sound SFX>Agility
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\Amnesia.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Sound SFX>Amnesia
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\AuroraBeam.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>AuroraBeam\<Sound SFX>AuroraBeam
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\AuroraBeam1.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>AuroraBeam\<Sound SFX>AuroraBeam1
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\AuroraBeam2.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>AuroraBeam\<Sound SFX>AuroraBeam2
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\AuroraBeam3.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>AuroraBeam\<Sound SFX>AuroraBeam3
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\AuroraBeamDirect.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>AuroraBeam\<Sound SFX>AuroraBeamDirect
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\Barrage.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>Barrage\<Sound SFX>Barrage
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\Barrage1.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>Barrage\<Sound SFX>Barrage1
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\Barrage2.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>Barrage\<Sound SFX>Barrage2
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\BarrageDirect.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>Barrage\<Sound SFX>BarrageDirect
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\Barrier.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>Barrier\<Sound SFX>Barrier
E:\AudioSamples\Pokemon\Pokemon SFX Attack Moves & Sound Effects Collection\GEN 1 SFX - Attack Moves - RBY\BarrierDelay.wav	\Actor-Mixer Hierarchy\Default Work Unit\SFX\SFX_Moves\<Random Container>Barrier\<Sound SFX>BarrierDelay
